#separator:tab
#html:false
ID cell type:	Eosinophil
In methemaglobinemia the SaO2 will be [...] while the PaO2 will be [...] In carboxyhemoglobinemia the SaO2 will be [...] while the PaO2 will be [...]	In methemaglobinemia the SaO2 will be normal/high while the PaO2 will be low In carboxyhemoglobinemia the SaO2 will be normal/high while the PaO2 will be low  In methemaglobinemia the SaO2 that is low but the PaO2 that is normal/high is called the Saturation Gap. Indicates abnormal hemoglobin such as carboxyhemoglobin, methmoglobin, sulphemoglobin. Cyanohemoglobin does not result in this finding.
Autologous vs Allogenic Stem Cell transplant	Autologous: from yourself to yourself Allogenic: from HLA matched donor to yourself
Chromosomal Translocations   [...] - Burkitt's Lymphoma [...] - Mantle Cell Lymphoma [...] - Follicular Lymphoma [...] - Papillary Thyroid Cancer [...] - Follicular Thyroid Cancer [...] - AML M2 [...] - Philadelphia Chromosome, CML and ALL [...] - APML M3 [...] - ALL [...] - Anaplastic Large Cell Lymphoma [...] - MALT-lymphoma	Chromosomal Translocations   t(8;14) - Burkitt's Lymphoma t(11;14) - Mantle Cell Lymphoma t(14;18) - Follicular Lymphoma t(10;various)/RET-proto-oncogene - Papillary Thyroid Cancer t(2;3) - Follicular Thyroid Cancer t(8;21) - AML M2 t(9;22) - Philadelphia Chromosome, CML and ALL t(15;17) - APML M3 t(12;21) - ALL t(2;5) - Anaplastic Large Cell Lymphoma t(11;18) - MALT-lymphoma
Chromosomal Translocations   t(8;14) - [...] t(11;14) - [...] t(14;18) - [...] t(10;various)/RET-proto-oncogene - [...] t(2;3) - [...] t(8;21) - [...] t(9;22) - [...] t(15;17) - [...] t(12;21) - [...] t(2;5) - [...] t(11;18) - [...]	Chromosomal Translocations   t(8;14) - Burkitt's Lymphoma t(11;14) - Mantle Cell Lymphoma t(14;18) - Follicular Lymphoma t(10;various)/RET-proto-oncogene - Papillary Thyroid Cancer t(2;3) - Follicular Thyroid Cancer t(8;21) - AML M2 t(9;22) - Philadelphia Chromosome, CML and ALL t(15;17) - APML M3 t(12;21) - ALL t(2;5) - Anaplastic Large Cell Lymphoma t(11;18) - MALT-lymphoma
Types of hemoglobin in disease[...] - 2 alpha and two gamma chains, found in Beta-thalassemia & Sickle Cell Disease [...] - 2 alpha and two delta chains, found in Beta-thalassemia [...] - Hemoglobin Barts, found in --/-- type Alpha-thalassemia, Hydrops Fetalis	Types of hemoglobin in disease [$]HbF \ \alpha_2 \gamma_2[/$] - 2 alpha and two gamma chains, found in Beta-thalassemia & Sickle Cell Disease  [$]HbA2 \ \alpha_2 \delta_2[/$] - 2 alpha and two delta chains, found in Beta-thalassemia [$]HbH \ \gamma_2 \gamma_2[/$] - Hemoglobin Barts, found in --/-- type Alpha-thalassemia, Hydrops Fetalis  HbF = fetal hemoglobin
Types of hemoglobin in disease [$]HbF \ \alpha_2 \gamma_2[/$] - [...]  [$]HbA2 \ \alpha_2 \delta_2[/$] - [...] [$]HbH \ \gamma_2 \gamma_2[/$] - [...]	Types of hemoglobin in disease [$]HbF \ \alpha_2 \gamma_2[/$] - 2 alpha and two gamma chains, found in Beta-thalassemia & Sickle Cell Disease  [$]HbA2 \ \alpha_2 \delta_2[/$] - 2 alpha and two delta chains, found in Beta-thalassemia [$]HbH \ \gamma_2 \gamma_2[/$] - Hemoglobin Barts, found in --/-- type Alpha-thalassemia, Hydrops Fetalis  HbF = fetal hemoglobin
[...] is used to detect deficiency or abnormalities in fibrinogen, especially in cases of heparin contamination. It will be [...] when heparin is causing the raised APTT	Reptilase time is used to detect deficiency or abnormalities in fibrinogen, especially in cases of heparin contamination. It will be normal when heparin is causing the raised APTT  Reptilase, an enzyme found in the venom of Bothrops snakes, it is essentially thrombin that is resistant to the effects of anti-thrombin III, and thus heparin. Unlike thrombin, reptilase is resistant to inhibition by antithrombin III. Thus, it replaces the inhibited antithrombin III.
In a patient with severe hemophilia A and high titre of factor VIII inhibitor, what do you give as replacement?	Factor VII  Recombinant factor VIIa: rVIIa was initially developed for use in patients with congenital hemophilia with inhibitors, but it has also been used in acquired hemophilia. rVIIa binds to the surface of activated platelets, where it supports thrombin generation, thus bypassing the need for FVIII.   Prednisolone at 1 mg/kg/day results in inhibitor abolition in approximately 30% of patients. The addition of cyclophosphamide at 50 to 100 mg/day can increase the response rate to 60–70%. Along with cyclophosphamide, other agents that have been used are azathioprine, vincristine, mycophenolate mofetil, and 2-chlorodeoxyadenosine. Most patients show response in 3 to 6 weeks, but some may have a prolonged response time of months.   “Off label” use of rituximab has been studied in acquired hemophilia, showing promising results of durable remission.
Management of Polycythemia Vera   When to treat: [...] Hematocrit Target [...] Management strategies: [...], medical managment: [...] and [...]	Management of Polycythemia Vera   When to treat: Upon the onset of symptoms Hematocrit Target <45% Management strategies: Phlebotomy, medical managment: hydroxyurea, ruxolitinib, anagrelide, Busulphan (old) and anti-platelets (aspirin)
Warm (WAIHA) Autoimmune Hemolytic Anemia  WAIHA is usually caused by [...] autoantibodies that react at [...]C resulting in a DAT positive for [...]. It is the most common AIHA at [...]   WAIHA is caused by: Idiopathic, Autoimmune diseases, CLL, Non-hodgkins Lymphoma & Hodgkins Lymphoma   RBCs destroyed by [...] Cold (CAIHA) Autoimmune Hemolytic Anemia CAIHA is usually caused by [...] autoantibodies that bind to RBC at temperatures between 0.8C and 37.8C. CAIHA antibodies [...] RBC in the peripheral circulation and deposit complement, resulting in a DAT positive for [...] and negative for IgG. Occurs in 20-25% of cases   Two forms of CAIHA and cause:  Transient (in young) - Mycoplasma Pneumonia, Infectious mononucleosis Chronic (in older) - B-cell neoplasms	Warm (WAIHA) Autoimmune Hemolytic Anemia  WAIHA is usually caused by IgG autoantibodies that react at 37.8C resulting in a DAT positive for IgG. It is the most common AIHA at 80%   WAIHA is caused by: Idiopathic, Autoimmune diseases, CLL, Non-hodgkins Lymphoma & Hodgkins Lymphoma   RBCs destroyed by Spleen (moreso than by compliment) Cold (CAIHA) Autoimmune Hemolytic Anemia CAIHA is usually caused by IgM autoantibodies that bind to RBC at temperatures between 0.8C and 37.8C. CAIHA antibodies agglutinate RBC in the peripheral circulation and deposit complement, resulting in a DAT positive for C3d and negative for IgG. Occurs in 20-25% of cases   Two forms of CAIHA and cause:  Transient (in young) - Mycoplasma Pneumonia, Infectious mononucleosis Chronic (in older) - B-cell neoplasms
Warm (WAIHA) Autoimmune Hemolytic Anemia  WAIHA is usually caused by IgG autoantibodies that react at 37.8C resulting in a DAT positive for IgG. It is the most common AIHA at 80%   WAIHA is caused by: [...], [...], [...], [...] & [...]   RBCs destroyed by Spleen (moreso than by compliment) Cold (CAIHA) Autoimmune Hemolytic Anemia CAIHA is usually caused by IgM autoantibodies that bind to RBC at temperatures between 0.8C and 37.8C. CAIHA antibodies agglutinate RBC in the peripheral circulation and deposit complement, resulting in a DAT positive for C3d and negative for [...]. Occurs in [...] of cases   Two forms of CAIHA and cause:  Transient (in young) - [...], [...] Chronic (in older) - [...]	Warm (WAIHA) Autoimmune Hemolytic Anemia  WAIHA is usually caused by IgG autoantibodies that react at 37.8C resulting in a DAT positive for IgG. It is the most common AIHA at 80%   WAIHA is caused by: Idiopathic, Autoimmune diseases, CLL, Non-hodgkins Lymphoma & Hodgkins Lymphoma   RBCs destroyed by Spleen (moreso than by compliment) Cold (CAIHA) Autoimmune Hemolytic Anemia CAIHA is usually caused by IgM autoantibodies that bind to RBC at temperatures between 0.8C and 37.8C. CAIHA antibodies agglutinate RBC in the peripheral circulation and deposit complement, resulting in a DAT positive for C3d and negative for IgG. Occurs in 20-25% of cases   Two forms of CAIHA and cause:  Transient (in young) - Mycoplasma Pneumonia, Infectious mononucleosis Chronic (in older) - B-cell neoplasms
What opportunistic infection is most likely to occur in a patient undergoing induction chemotherapy for AML?	Candida Albicans, or invasive aspergillosis Thus primary prophylaxis is indicated. While fluconazole is the often cited drug used, it has no effect on aspergillus species, and thus itraconazole or voriconazole are appropriate alternatives.
Mechanism of action of Dabigatran? Which measure will always increase while on dabigatran?	1) Direct thrombin Inhibitor 2) Thrombin clotting time
Mechanism of Action of Heparin	Activates anti-thrombin III Heparin binds to the enzyme inhibitor antithrombin III (AT), causing a conformational change that results in its activation through an increase in the flexibility of its reactive site loop. The activated AT then inactivates thrombin and other proteases involved in blood clotting, most notably factor Xa. The rate of inactivation of these proteases by AT can increase by up to 1000-fold due to the binding of heparin.
First-line therapy for CLL with p53 Mutation  First-line therapy for CLL with chromosome 17 deletion	Alemtuzumab Ibrutinib
A 69yo male patient of yours is found to have an elevated serum paraprotein level of 35g/L. BMAT reveals 30% monoclonal plasma cell infiltrate. He has no evidence of anaemia, renal impairment, hypercalcaemia or lytic lesions. What is the next step in management?	Observe and monitor He has smoldering multiple myeloma. Meets the criteria for MM with a serum paraprotein level of >30g/L & >10% monoclonal plasma cell infiltrate in bone marrow testing.
Which anti-phosopholipid antibody has the highest risk of thrombosis?	Lupus Anticoagulant  No association was found between thrombosis and anti-cardiolipin (aCL) in a systematic review, and this was subsequently confirmed in prospective studies. Even when assessed at moderate to high titer (aCL > 40 IgG or IgM phospholipid units), the presence of aCL alone was not associated with thrombosis, although pregnancy morbidity was observed. Similarly, there appears to be no association between thrombosis or pregnancy loss in patients only positive for anti-β2GPI. In contrast, LA appears to be more strongly associated with thrombosis and pregnancy complications, although there are conflicting data that suggest isolated LA may not be associated with elevated thrombotic risk. The ELISA assays for aCLs and anti-β2GPI have been plagued by poor standardization and unreliable results. In contrast, assays for LA have better standardization and good correlation with the clinical manifestations of APS.
Factors associated with low risk of thrombosis in Essential Thrombocythemia (No treatment required)	Age <60 years  No previous history of thrombosis Platelet count <1 million/microL Thrombotic events in low-risk patients with ET are too infrequent to justify the long-term use of potentially harmful agents. The risk may be higher, however, in the presence of cardiovascular risk factors and/or extreme uncontrolled thrombocytosis.
When to commence treatment in essential thromboctosis	Platelet count above 1 million History of thrombosis or hemorrhage (platelets are non-functional) Risk factors for thrombosis The use of cytoreductive therapy in those patients with ET who have platelet counts >1 million/microL is based on the association with an increased risk of hemorrhage. The optimal dosing of aspirin in ET is not known.
Causes of Target Cells [...] [...] [...] [...]	Causes of Target Cells Liver Disease Iron Deficiency Splenectomy Thalassemia  The mnemonic LIST
